kp,ki,kd,crashed,runtime,i_error,average_speed
0.0,0.0,0.0,true,9.34546,16.9502,18.6885
0.0,0.0,0.05,true,17.5306,46.627,27.458
0.0,0.0,0.1,true,21.3686,55.7753,30.0609
0.0,0.0,0.15,true,24.5114,64.0505,31.3164
0.0,0.0,0.2,true,25.4781,61.0527,31.314
0.0,0.05,0.0,true,9.94829,-13.7268,5.98474
0.0,0.05,0.05,true,10.9431,-3.52442,21.4286
0.0,0.05,0.1,true,16.5929,3.89439,26.8149
0.0,0.05,0.15,true,56.3392,16.9533,7.83487
0.0,0.05,0.2,true,51.0594,-2.16141,31.1192
0.0,0.1,0.0,true,9.09728,-8.06505,16.8977
0.0,0.1,0.05,true,9.03069,-4.37814,18.5718
0.0,0.1,0.1,true,9.74269,-1.78407,19.2094
0.0,0.1,0.15,true,14.5841,10.2031,17.5845
0.0,0.1,0.2,true,20.3808,0.767811,27.0434
0.0,0.15,0.0,true,9.3474,-9.67319,13.0512
0.0,0.15,0.05,true,8.27335,-4.29545,16.8024
0.0,0.15,0.1,true,8.63554,-2.73542,17.2287
0.0,0.15,0.15,true,9.18622,-0.722074,18.1455
0.0,0.15,0.2,true,13.2239,2.90275,21.1826
0.0,0.2,0.0,true,9.98242,-12.6518,11.5319
0.0,0.2,0.05,true,7.84395,-4.13126,15.7359
0.0,0.2,0.1,true,8.07072,-3.16351,16.0144
0.0,0.2,0.15,true,8.36229,-1.36102,16.5753
0.0,0.2,0.2,true,9.19663,1.21149,17.0746
0.05,0.0,0.0,true,42.4177,40.4563,10.8954
0.05,0.0,0.05,false,60.0016,53.5047,33.3994
0.05,0.0,0.1,false,60.0038,57.4344,33.0539
0.05,0.0,0.15,false,60.0092,59.4925,32.5448
0.05,0.0,0.2,false,60.0204,62.9783,31.7884
0.05,0.05,0.0,true,9.82446,-0.886462,19.4858
0.05,0.05,0.05,false,60.0329,-6.25355,34.0914
0.05,0.05,0.1,false,60.0226,-4.62843,33.1327
