kp,ki,kd,crashed,runtime,distance,total_absolute_cte
0.0,0.0,0.0,true,9.32491,44.3275,501.005
0.0,0.0,0.05,true,17.5257,135.536,1412.02
0.0,0.0,0.1,true,20.7882,180.229,1618.72
0.0,0.0,0.15,true,24.4376,231.333,1938.53
0.0,0.0,0.2,true,25.1169,242.166,1810.6
0.0,0.05,0.0,true,11.0786,47.386,746.799
0.0,0.05,0.05,true,11.0016,59.6452,458.343
0.0,0.05,0.1,true,16.4902,123.159,823.649
0.0,0.05,0.15,true,57.7444,503.094,4069.78
0.0,0.05,0.2,true,50.9456,602.643,2648.07
0.0,0.1,0.0,true,9.34781,41.3133,518.522
0.0,0.1,0.05,true,9.04486,42.3765,393.291
0.0,0.1,0.1,true,9.70483,47.9109,395.03
0.0,0.1,0.15,true,14.3885,85.5738,785.819
0.0,0.1,0.2,true,20.1486,165.393,1061.55
0.0,0.15,0.0,true,9.38297,36.868,559.973
0.0,0.15,0.05,true,8.28942,35.4436,374.643
0.0,0.15,0.1,true,8.59599,38.2312,355.943
0.0,0.15,0.15,true,9.25472,42.6705,372.983
0.0,0.15,0.2,true,13.3031,81.7195,658.429
0.0,0.2,0.0,true,10.0014,35.14,659.893
0.0,0.2,0.05,true,7.73385,31.5258,346.925
0.0,0.2,0.1,true,8.12064,33.1772,347.115
0.0,0.2,0.15,true,8.34355,36.2783,334.693
0.0,0.2,0.2,true,9.10079,41.1986,379.383
0.05,0.0,0.0,true,42.3123,489.886,1721.19
0.05,0.0,0.05,false,60.0027,774.312,2213.3
